"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M100US10020","Abbeville, LA Micro Area","94900","3277"
"310M100US10100","Aberdeen, SD Micro Area","119400","5011"
"310M100US10140","Aberdeen, WA Micro Area","160000","4850"
"310M100US10180","Abilene, TX Metro Area","84800","1914"
"310M100US10220","Ada, OK Micro Area","97800","5037"
"310M100US10260","Adjuntas, PR Micro Area","102800","9612"
"310M100US10300","Adrian, MI Micro Area","133800","3062"
"310M100US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area","102000","2246"
"310M100US10420","Akron, OH Metro Area","144500","1064"
"310M100US10460","Alamogordo, NM Micro Area","105900","4809"
"310M100US10500","Albany, GA Metro Area","104800","3342"
"310M100US10540","Albany-Lebanon, OR Micro Area","181600","4742"
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","194900","1380"
"310M100US10620","Albemarle, NC Micro Area","127800","4797"
"310M100US10660","Albert Lea, MN Micro Area","109500","3847"
"310M100US10700","Albertville, AL Micro Area","107000","4054"
"310M100US10740","Albuquerque, NM Metro Area","183800","1594"
"310M100US10760","Alexander City, AL Micro Area","89700","4964"
"310M100US10780","Alexandria, LA Metro Area","108800","3142"
"310M100US10820","Alexandria, MN Micro Area","188100","6537"
"310M100US10860","Alice, TX Micro Area","68300","2995"
"310M100US10880","Allegan, MI Micro Area","147600","2897"
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","216800","1643"
"310M100US10940","Alma, MI Micro Area","90300","2067"
"310M100US10980","Alpena, MI Micro Area","102800","3611"
"310M100US11020","Altoona, PA Metro Area","101500","2931"
"310M100US11060","Altus, OK Micro Area","87600","3775"
"310M100US11100","Amarillo, TX Metro Area","111700","1907"
"310M100US11140","Americus, GA Micro Area","88700","4328"
"310M100US11180","Ames, IA Metro Area","159900","2985"
"310M100US11220","Amsterdam, NY Micro Area","99500","2330"
"310M100US11260","Anchorage, AK Metro Area","256800","3023"
"310M100US11300","Anderson, IN Metro Area","95900","1840"
"310M100US11340","Anderson, SC Metro Area","120500","2754"
"310M100US11380","Andrews, TX Micro Area","87500","10587"
"310M100US11420","Angola, IN Micro Area","125600","5043"
"310M100US11460","Ann Arbor, MI Metro Area","208800","2502"
"310M100US11500","Anniston-Oxford, AL Metro Area","99600","3034"
"310M100US11540","Appleton, WI Metro Area","156800","1574"
"310M100US11580","Arcadia, FL Micro Area","114900","8901"
"310M100US11620","Ardmore, OK Micro Area","85800","4353"
"310M100US11660","Arkadelphia, AR Micro Area","78700","6359"
"310M100US11700","Asheville, NC Metro Area","184400","3009"
"310M100US11740","Ashland, OH Micro Area","126500","4096"
"310M100US11780","Ashtabula, OH Micro Area","116600","2683"
"310M100US11820","Astoria, OR Micro Area","261600","8767"
"310M100US11860","Atchison, KS Micro Area","87600","4404"
"310M100US11900","Athens, OH Micro Area","117400","4661"
"310M100US11940","Athens, TN Micro Area","110100","5058"
"310M100US11980","Athens, TX Micro Area","87000","3397"
"310M100US12020","Athens-Clarke County, GA Metro Area","166100","2322"
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","184900","717"
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","256600","3684"
"310M100US12140","Auburn, IN Micro Area","110500","4099"
"310M100US12180","Auburn, NY Micro Area","100200","2660"
"310M100US12220","Auburn-Opelika, AL Metro Area","144100","4825"
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","123200","1742"
"310M100US12300","Augusta-Waterville, ME Micro Area","151000","2429"
"310M100US12380","Austin, MN Micro Area","108300","3782"
