"","GeoFips","GeoName","year","MEDINC","MEDVAL","MOE","UMEDVAL","LMEDVAL","PERINC","POP","RPPALL","RPPGOODS","RPPRENT","RPPSOTH","IPD","IR","PMT","QINC","HAI","ADJALL","AINCALL","HAIRW","ADJRNT","AINCRNT","HAIRNT","ADJIPD","HAIIPD","PMTRAW","QINCRAW","HAIRAW","HHSIZE","DEBTMV","DEBTED","DEBTIL","DEBTCC","DEBTOC","DEBTS","AQINC30","AINCDBT","HAIDBT","PMT3DP","AQINC60","HAILEN"
"1",10180,"Abilene, TX (Metropolitan Statistical Area)",2019,45552,116100,2841,118941,113259,7837655,172060,90.3,96,80.1,91.2,98.3,0.035,417.072706036835,20019.4898897681,227.538265214647,4418.544,49970.544,249.609476940468,9064.84800000001,54616.848,272.818379992362,78248.88396,390.863525448732,516.127473720584,24774.118738588,183.869305223957,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,16682.9082414734,-11218.7083399209,-0.672467184830006,505.700656069663,8341.45412073671,599.062744657123
"2",10420,"Akron, OH (Metropolitan Statistical Area)",2019,51095,150000,1449,151449,148551,35944121,703479,90,95.9,76.2,92.2,98,0.035,538.853625370588,25864.9740177882,197.545143346598,5109.5,56204.5,217.299657681257,12160.61,63255.61,244.560887463088,89530.7028,346.146501977642,666.831361396103,32007.9053470129,159.632439067958,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,21554.1450148235,537.031660079054,0.0249154703055825,653.360020761838,10777.0725074118,521.519178435018
"3",10500,"Albany, GA (Metropolitan Statistical Area)",2019,39922,117700,2736,120436,114964,5857583,146726,82.8,96,51.7,95.1,90.2,0.035,422.820478040788,20295.3829459578,196.704837283946,6866.584,46788.584,230.538069296784,19282.326,59204.326,291.713273692091,74503.953436,367.098042123116,523.240341575475,25115.5363956228,158.953403865815,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,16912.8191216315,-8222.21033992094,-0.486152561603685,512.669829624456,8456.40956081576,553.291366312282
"4",10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2019,44830,221600,4836,226436,216764,5816653,129749,98,102.8,90.4,97.7,106.7,0.035,796.066422547482,38211.1882822792,117.321658957124,896.599999999999,45726.6,119.668092136266,4303.68,49133.68,128.584538217008,76820.77766,201.042629432245,985.132197902509,47286.3454993204,94.8053809754536,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,31842.6569018993,-18823.848339921,-0.591151938040641,965.230537338822,15921.3284509496,287.203421127039
"5",10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2019,60767,213600,1557,215157,212043,53498359,880381,99.3,98.9,102.8,97.9,108.1,0.035,767.327562527718,36831.7230013305,164.985493613223,425.368999999999,61192.369,166.140392068515,-1701.476,59065.524,160.365899792053,96924.3068885,263.154419588242,949.56785862805,45579.2572141464,133.321611000584,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,30693.1025011087,-1159.11983992095,-0.0377648313616743,930.384669564858,15346.5512505544,398.736940964437
"6",10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2019,43986,192800,1440,194240,191360,40379815,918018,93.6,93.1,87.8,99.1,101.9,0.035,692.606526476329,33245.1132708638,132.308167042852,2815.104,46801.104,140.775889733595,5366.292,49352.292,148.44976342208,74135.148036,222.995624746367,857.100576514458,41140.827672694,106.915690539679,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,27704.2610590532,-18067.9843399209,-0.652173479790998,839.785413352549,13852.1305295266,337.862135360628
"7",10780,"Alexandria, LA (Metropolitan Statistical Area)",2019,44446,136200,4978,141178,131222,6757395,152037,85.4,96.1,63.4,91.3,93,0.035,489.279091836494,23485.3964081517,189.24952011699,6489.11599999999,50935.116,216.879950054071,16267.236,60713.236,258.514844479809,80148.13842,341.267982141365,605.482876147661,29063.1780550877,152.928905145043,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,19571.1636734598,-4640.03433992095,-0.237085255498285,593.250898851749,9785.58183672988,520.51188012977
"8",10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2019,55675,213800,1744,215544,212056,46992336,844052,98.6,99.1,96.9,99.1,107.4,0.035,768.046034028212,36866.2096333542,151.019051195404,779.449999999997,56454.45,153.133317912139,1725.925,57400.925,155.700641782461,91964.6331,249.455080993182,950.456967109912,45621.9344212758,122.035596925579,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,30721.8413611285,-5192.67833992095,-0.169022366819819,931.255816259207,15360.9206805642,367.519962989135
"9",11020,"Altoona, PA (Metropolitan Statistical Area)",2019,48277,123600,2755,126355,120845,5881562,121829,90.1,98.9,64.5,97.9,98.1,0.035,444.015387305365,21312.7385906575,226.517112264317,4779.423,53056.423,248.942306378484,17138.335,65415.335,306.930687118149,90196.6191165,423.205205341551,549.469041790389,26374.5140059387,183.04413112268,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,17760.6154922146,1122.71816007905,0.0632139218694981,538.368657107755,8880.3077461073,597.461535308362
"10",11100,"Amarillo, TX (Metropolitan Statistical Area)",2019,48065,140500,2458,142958,138042,12739902,265053,91.3,96.3,82.8,91.3,99.4,0.035,504.726229097118,24226.8589966616,198.395508087215,4181.65500000001,52246.655,215.655917290803,8267.18,56332.18,232.519535478216,81960.774455,338.305409158875,624.598708507683,29980.7380083688,160.319602494719,2.53,7905.13833992095,24449.92,24310.77,8855,25300,90820.8283399209,20189.0491638847,-8365.32083992094,-0.414349421412341,611.980552780255,10094.5245819424,517.574201497926
