MAIRPD Implicit Regional Price Deflators by MSA,,,,,,,,,,,,
Implicit regional price deflator (Index) ,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,
GeoFips,GeoName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
999,United States (Nonmetropolitan Portion) 1/,81.2,83.2,85.5,87.3,89,90.3,90.3,91,92.5,93.7,94.5
10180,"Abilene, TX (Metropolitan Statistical Area)",84.1,86.1,88.6,91,91.8,93.5,93.3,94,94.6,97.4,98.3
10420,"Akron, OH (Metropolitan Statistical Area)",82.8,84.3,86.9,88.4,90.4,92.3,92.8,93.5,95.2,96.9,98
10500,"Albany, GA (Metropolitan Statistical Area)",78.3,80.2,82.6,84.2,85.2,86.1,86.1,86.4,87.2,88.9,90.2
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",89.8,90.7,91.7,92.7,94.6,97.1,96.5,99.5,102.1,104.9,106.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",93.2,94,96.3,98.6,100.6,102.8,103.4,103.9,104.7,106.5,108.1
10740,"Albuquerque, NM (Metropolitan Statistical Area)",90.9,92.5,95,96.7,98.4,99.2,98.9,98.2,98.9,100.4,101.9
10780,"Alexandria, LA (Metropolitan Statistical Area)",81.2,82.8,84.3,87.2,88.8,90.8,90.6,90.3,91,91.9,93
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",94.2,95.3,97.7,99.4,101.3,103.6,103.9,104,104.2,106.2,107.4
11020,"Altoona, PA (Metropolitan Statistical Area)",83.8,85.6,88.6,91.2,91.2,92.9,92.7,93.4,94.4,96.5,98.1
11100,"Amarillo, TX (Metropolitan Statistical Area)",88,88.6,90.6,92.6,93.9,95.1,95.5,95.7,96.7,98.1,99.4
11180,"Ames, IA (Metropolitan Statistical Area)",84.1,85.4,87.8,89.3,91.1,93.2,93.8,94,96.9,98.8,99.9
11260,"Anchorage, AK (Metropolitan Statistical Area)",104.3,105,106.9,107.9,109.4,111.3,111.3,112.6,114.3,115.6,116
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",96.4,97.3,99.7,101.2,102.5,103.9,104.1,104.4,105.5,107.9,109.5
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",78.5,79.6,81.7,84.6,85.9,86.3,86.5,86.1,87.6,88.6,89.7
11540,"Appleton, WI (Metropolitan Statistical Area)",87,88.4,91,92.9,93.9,94.4,93.7,93.9,94.6,96,96.8
11700,"Asheville, NC (Metropolitan Statistical Area)",87.1,88.1,90,91.8,93.5,95.4,95.3,96.2,97.7,100.2,101.8
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",87.9,88.4,89.7,91.1,92.6,94.2,94.2,94.3,96,97.8,99.1
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",92.1,92.2,93.6,95.4,97,98.5,99,100.3,102.4,104.7,106.6
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",102.3,102.8,104.4,106.6,107.7,108.6,107.2,105.5,104.4,106.1,107.4
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",81.7,82.7,84.9,86.3,87.8,88.2,86.9,87.2,88.1,91.4,92.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",83.7,84.8,87.4,89.1,90.6,91,90.9,91.5,93.3,95.3,97.2
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",93,93.9,96.1,98,99.6,101.5,102.3,103,104.2,106.6,108.2
12540,"Bakersfield, CA (Metropolitan Statistical Area)",91.7,93.4,95.9,97.6,99.1,99.8,99.4,100.3,102.4,104.2,105.7
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",101.6,103.8,106.1,107.1,108.4,110.1,110.4,110.9,111.9,113.8,115.2
12620,"Bangor, ME (Metropolitan Statistical Area)",90.5,91.3,94.3,96.1,98.1,99.3,99.6,100.1,102.5,104.2,105.9
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",96.9,98.1,99.4,101.6,103.1,105.5,106.1,108.5,111.4,113.8,115.7
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",86.9,88.1,90.5,92.7,93.8,95.4,95.3,95.6,96,97.7,98.5
12980,"Battle Creek, MI (Metropolitan Statistical Area)",85.7,86.9,88.7,90.4,91.7,93.1,92.4,92.5,93,93.9,94.7
13020,"Bay City, MI (Metropolitan Statistical Area)",84.8,84.6,86.5,88.6,90.6,91.5,89.9,89.1,89.9,91.6,93.5
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",83.8,84.9,87.7,89.8,91.4,92.3,92.6,92.7,93.1,93.9,95.1
13220,"Beckley, WV (Metropolitan Statistical Area)",69.1,73,73.9,76.3,78.1,80.8,81.1,81.8,80,82.5,84.7
13380,"Bellingham, WA (Metropolitan Statistical Area)",92.6,94.5,97.6,99.4,101.3,102.2,102,103.2,105.3,108.4,110.6
13460,"Bend, OR (Metropolitan Statistical Area)",91.7,92.5,93.3,95,97,99.2,99.8,104,108.1,110.4,111.6
13740,"Billings, MT (Metropolitan Statistical Area)",90.1,91.2,93.6,95.3,98.3,99.6,100.4,99.2,100.3,101.2,102.8
13780,"Binghamton, NY (Metropolitan Statistical Area)",88.7,90.2,92.7,95,96.1,98.1,98.5,99.2,100.3,102.1,103.4
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",84.9,86.1,88.1,89.6,90.7,91.8,91.7,91.7,92.3,94.4,96.1
13900,"Bismarck, ND (Metropolitan Statistical Area)",86.4,87.4,89.7,91.9,94.1,95.8,95.4,97.1,98.2,99.4,100.1
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",83.7,85.2,87.8,88.5,89.9,90.5,91.5,91.7,93.5,95.9,98.2
14010,"Bloomington, IL (Metropolitan Statistical Area)",87.7,88.7,91.4,93.4,94.6,96.1,95.5,96.4,97.2,98.5,99.7
14020,"Bloomington, IN (Metropolitan Statistical Area)",89.1,89.6,93,94.6,96.4,97,96,95.9,96.8,98.2,99.7
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",86.5,88.9,90.3,92.1,93.4,96,97.1,96.8,97.8,98.8,100.7
14260,"Boise City, ID (Metropolitan Statistical Area)",89.9,91.3,93.3,94.9,96.2,97.2,96.7,96.6,97.2,99.7,102
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",104.6,106.2,108.8,110.4,111.1,112.9,113.7,116.9,120,123.4,125.8
14500,"Boulder, CO (Metropolitan Statistical Area)",99.8,103,106.1,108.1,110.6,111.5,111.5,111.1,112.2,114,116.1
14540,"Bowling Green, KY (Metropolitan Statistical Area)",79.1,80.7,82.8,84.9,86.7,88,87.8,87.9,89,90.5,92.2
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",97.4,99.2,102.2,104.4,106.9,108.9,109.5,110.5,112.8,115.8,118.4
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",114.8,115.7,118.2,120,120.7,121.8,121.7,120.4,119.9,121.5,122.4
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",78.5,80.3,82.6,84.6,86.1,87,86.2,86.2,86.7,88.4,89.5
15260,"Brunswick, GA (Metropolitan Statistical Area)",79.3,81.4,83.4,85.2,86.8,87.9,88.7,89.3,91.6,94.7,95.6
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",87.9,89,91.4,93.3,95.1,97,97.5,97.7,98.9,101.1,102.9
15500,"Burlington, NC (Metropolitan Statistical Area)",86.3,86.7,88.4,89.4,91,92.4,92.4,92.8,93.9,96,97.5
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",96.1,96.9,99.2,101.5,103.6,106.5,107.1,109.5,111.9,114.2,115.6
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",93.2,94,96.1,98.7,99.8,101.3,101.3,104.4,104.8,105.6,104.9
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",83.9,85.4,87.5,88.9,89.9,91.1,90.3,90.5,91.3,92.4,92.8
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",93.3,92.6,93.8,94.8,96,97.3,97.9,99.5,101.8,104.8,106.3
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",74.9,76.8,79.9,83.6,85.2,86.2,85.2,86,87.7,90.5,92.2
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",76,78.1,81.8,84,85.6,86.7,86.4,87.6,88,89.9,90.6
