"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
" Pair "," Player Name                     ","Total","Round","Round","Round","Round","Round","Round","Round","  Num  "," USCF I "," Rtg (Pre->Post)       "," Pts ","  1  ","  2  ","  3  ","  4  ","  5  ","  6  ","  7  "," "
"    1 "," GARY HUA                        ","6.0  ","  39","  21","  18","  14","   7","  12","   4","   ON "," 15445895 "," R: 1794   ->1817     ","N:2  ","    ","B    ","    ","B    ","    ","B    ","    ","    1 "
"    2 "," AKSHESH ARURI                 ","6.0  ","  63","  58","   4","  17","  16","  20","   7","   MI "," 14598900 "," R: 1553   ->1663     ","N:2  ","B    ","    ","B    ","    ","B    ","    ","B    ","    2 "
"    3 "," AITYA BAJAJ                    ","6.0  ","   8","  61","  25","  21","  11","  13","  12","   MI "," 14959604 "," R: 1384   ->1640     ","N:2  ","    ","B    ","    ","B    ","    ","B    ","    ","    3 "
"    4 "," PATRICK H SCHIING             ","5.5  ","  23","  28","   2","  26","   5","  19","   1","   MI "," 12616049 "," R: 1716   ->1744     ","N:2  ","    ","B    ","    ","B    ","    ","B    ","B    ","    4 "
"    5 "," HANSHI ZUO                      ","5.5  ","  45","  37","  12","  13","   4","  14","  17","   MI "," 14601533 "," R: 1655   ->1690     ","N:2  ","B    ","    ","B    ","    ","B    ","    ","B    ","    5 "
"    6 "," HANSEN SONG                     ","5.0  ","  34","  29","  11","  35","  10","  27","  21","   OH "," 15055204 "," R: 1686   ->1687     ","N:3  ","    ","B    ","    ","B    ","B    ","    ","B    ","    6 "
"    7 "," GARY EE SATHE               ","5.0  ","  57","  46","  13","  11","   1","   9","   2","   MI "," 11146376 "," R: 1649   ->1673     ","N:3  ","    ","B    ","    ","B    ","B    ","    ","    ","    7 "
"    8 "," EZEKIE HOUGHTON                ","5.0  ","   3","  32","  14","   9","  47","  28","  19","   MI "," 15142253 "," R: 1641P17->1657P24  ","N:3  ","B    ","    ","B    ","    ","B    ","    ","    ","    8 "
"    9 "," STEFANO EE                     ","5.0  ","  25","  18","  59","   8","  26","   7","  20","   ON "," 14954524 "," R: 1411   ->1564     ","N:2  ","    ","B    ","    ","B    ","    ","B    ","B    ","    9 "
"   10 "," ANVIT RAO                       ","5.0  ","  16","  19","  55","  31","   6","  25","  18","   MI "," 14150362 "," R: 1365   ->1544     ","N:3  ","    ","    ","B    ","B    ","    ","B    ","    ","   10 "
"   11 "," CAMERON IIAM MC EMAN        ","4.5  ","  38","  56","   6","   7","   3","  34","  26","   MI "," 12581589 "," R: 1712   ->1696     ","N:3  ","B    ","    ","B    ","    ","B    ","    ","B    ","   11 "
"   12 "," KENNETH J TACK                  ","4.5  ","  42","  33","   5","  38","H    ","   1","   3","   MI "," 12681257 "," R: 1663   ->1670     ","N:3  ","    ","B    ","    ","B    ","     ","    ","B    ","   12 "
"   13 "," TORRANCE HENRY JR               ","4.5  ","  36","  27","   7","   5","  33","   3","  32","   MI "," 15082995 "," R: 1666   ->1662     ","N:3  ","B    ","    ","B    ","B    ","    ","    ","B    ","   13 "
"   14 "," BRAEY SHA                    ","4.5  ","  54","  44","   8","   1","  27","   5","  31","   MI "," 10131499 "," R: 1610   ->1618     ","N:3  ","    ","B    ","    ","    ","B    ","B    ","    ","   14 "
"   15 "," ZACHARY JAMES HOUGHTON          ","4.5  ","  19","  16","  30","  22","  54","  33","  38","   MI "," 15619130 "," R: 1220P13->1416P20  ","N:3  ","B    ","B    ","    ","    ","B    ","B    ","    ","   15 "
"   16 "," MIKE NIKITIN                    ","4.0  ","  10","  15","H    ","  39","   2","  36","U    ","   MI "," 10295068 "," R: 1604   ->1613     ","N:3  ","B    ","    ","     ","B    ","    ","B    ","     ","   16 "
"   17 "," RONA GRZEGORCZYK              ","4.0  ","  48","  41","  26","   2","  23","  22","   5","   MI "," 10297702 "," R: 1629   ->1610     ","N:3  ","    ","B    ","    ","B    ","    ","B    ","    ","   17 "
"   18 "," AVI SUNEEN                   ","4.0  ","  47","   9","   1","  32","  19","  38","  10","   MI "," 11342094 "," R: 1600   ->1600     ","N:3  ","B    ","    ","B    ","    ","B    ","    ","B    ","   18 "
"   19 "," IPANKAR ROY                    ","4.0  ","  15","  10","  52","  28","  18","   4","   8","   MI "," 14862333 "," R: 1564   ->1570     ","N:3  ","    ","B    ","    ","B    ","    ","    ","B    ","   19 "
