"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M100US10020","Abbeville, LA Micro Area","94800","3771"
"310M100US10100","Aberdeen, SD Micro Area","128700","5272"
"310M100US10140","Aberdeen, WA Micro Area","161400","3929"
"310M100US10180","Abilene, TX Metro Area","89300","2515"
"310M100US10220","Ada, OK Micro Area","97300","4304"
"310M100US10260","Adjuntas, PR Micro Area","111500","7957"
"310M100US10300","Adrian, MI Micro Area","124400","2660"
"310M100US10380","Aguadilla-Isabela-San Sebastián, PR Metro Area","109900","1878"
"310M100US10420","Akron, OH Metro Area","141500","1199"
"310M100US10460","Alamogordo, NM Micro Area","105300","5224"
"310M100US10500","Albany, GA Metro Area","104500","3110"
"310M100US10540","Albany-Lebanon, OR Micro Area","176800","4422"
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","197900","1492"
"310M100US10620","Albemarle, NC Micro Area","124500","4790"
"310M100US10660","Albert Lea, MN Micro Area","107900","3814"
"310M100US10700","Albertville, AL Micro Area","109800","5001"
"310M100US10740","Albuquerque, NM Metro Area","182100","1467"
"310M100US10760","Alexander City, AL Micro Area","87800","3426"
"310M100US10780","Alexandria, LA Metro Area","112100","3291"
"310M100US10820","Alexandria, MN Micro Area","190500","5206"
"310M100US10860","Alice, TX Micro Area","67800","3347"
"310M100US10880","Allegan, MI Micro Area","142400","3192"
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","213400","1358"
"310M100US10940","Alma, MI Micro Area","88200","2161"
"310M100US10980","Alpena, MI Micro Area","101600","3587"
"310M100US11020","Altoona, PA Metro Area","103700","2366"
"310M100US11060","Altus, OK Micro Area","85500","3739"
"310M100US11100","Amarillo, TX Metro Area","113600","1952"
"310M100US11140","Americus, GA Micro Area","89300","3828"
"310M100US11180","Ames, IA Metro Area","160700","2931"
"310M100US11220","Amsterdam, NY Micro Area","99500","3215"
"310M100US11260","Anchorage, AK Metro Area","258900","2945"
"310M100US11300","Anderson, IN Metro Area","93600","1571"
"310M100US11340","Anderson, SC Metro Area","121900","3260"
"310M100US11380","Andrews, TX Micro Area","90200","10667"
"310M100US11420","Angola, IN Micro Area","120900","4608"
"310M100US11460","Ann Arbor, MI Metro Area","200300","2722"
"310M100US11500","Anniston-Oxford, AL Metro Area","101900","3148"
"310M100US11540","Appleton, WI Metro Area","158200","1704"
