"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
998,United States (Metropolitan Portion),1,Personal income (thousands of dollars),11006912097,10642905674,11074965986,11761363843,12390306960,12537767993,13287474613,13976306581,14403844319,15127538044,15951832030,16588017991
998,United States (Metropolitan Portion),2,Population (persons) 1/,258627316,261210075,263659818,265915376,268257478,270477172,272833530,275213283,277549164,279600267,281282602,282828601
998,United States (Metropolitan Portion),3,Per capita personal income (dollars) 2/,42559,40745,42005,44230,46188,46354,48702,50784,51897,54104,56711,58650
10180,"Abilene, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5632799,5415851,5705250,6052939,6356517,6534805,7010125,6872897,6797808,6966419,7459618,7837655
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,162508,163888,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060
10180,"Abilene, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34662,33046,34455,36325,37963,39020,41642,40503,39983,40876,43585,45552
10420,"Akron, OH (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),27003814,26175360,26886702,28023720,28861978,29411698,30821441,31731732,32153668,33455069,34880215,35944121
10420,"Akron, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,703300,703361,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479
10420,"Akron, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38396,37215,38244,39852,41108,41800,43724,45049,45704,47522,49556,51095
10500,"Albany, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4490088,4591059,4727287,5075541,5101696,5051615,5168357,5272524,5324540,5446810,5622985,5857583
10500,"Albany, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,153823,154409,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726
10500,"Albany, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29190,29733,30668,32842,33133,33089,34014,35060,35702,36780,38034,39922
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3562032,3565145,3697969,3825868,3964446,4026793,4293341,4610378,4836624,5147507,5522081,5816653
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,114967,116001,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,30983,30734,31636,32378,33519,34009,36066,38344,39396,41169,43327,44830
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),36892825,37222239,38693831,40118185,41582543,42431719,44093361,46347149,47174310,49830518,51561974,53498359
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,866282,869361,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,42588,42816,44420,45966,47539,48379,50214,52722,53620,56487,58443,60767
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),30233555,30098613,30634965,31977757,32424855,31993265,33889057,35265941,36588821,37324817,38856657,40379815
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2,Population (persons) 1/,863383,876448,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,35018,34342,34438,35609,35950,35354,37466,38924,40241,40912,42469,43986
