Source: https://dqydj.com/historical-home-prices/
United States Median Home Price History
Month of Observation	Median Home Price (NSA)	Inflation Adjusted Price
1/1/53	$18,080.26	$182,262.46
2/1/53	$18,080.26	$182,605.19
3/1/53	$18,080.26	$182,330.90
4/1/53	$18,122.25	$182,343.51
5/1/53	$18,143.25	$182,486.44
6/1/53	$18,143.25	$182,009.26
7/1/53	$18,185.25	$182,294.40
8/1/53	$18,206.25	$182,097.08
9/1/53	$18,227.25	$182,035.93
10/1/53	$18,227.25	$181,630.66
11/1/53	$18,206.25	$182,097.08
12/1/53	$18,206.25	$181,961.54
1/1/54	$18,206.25	$181,488.74
2/1/54	$18,227.25	$181,361.48
3/1/54	$18,227.25	$181,765.55
4/1/54	$18,206.25	$182,029.29
5/1/54	$18,206.25	$181,556.13
6/1/54	$18,227.25	$181,698.08
7/1/54	$18,290.25	$182,869.13
8/1/54	$18,332.24	$183,357.22
9/1/54	$18,374.24	$184,051.49
10/1/54	$18,353.24	$184,460.37
11/1/54	$18,353.24	$184,047.09
12/1/54	$18,374.24	$184,326.50
1/1/55	$18,395.24	$184,537.17
2/1/55	$18,332.24	$183,562.32
3/1/55	$18,290.25	$183,346.96
4/1/55	$18,185.25	$182,294.40
5/1/55	$18,185.25	$182,430.60
6/1/55	$18,269.25	$183,684.96
7/1/55	$18,332.24	$183,973.89
8/1/55	$18,437.24	$185,304.61
9/1/55	$18,479.24	$184,827.50
10/1/55	$18,458.24	$184,823.97
11/1/55	$18,416.24	$183,991.80
12/1/55	$18,374.24	$183,640.51
1/1/56	$18,332.24	$183,493.90
2/1/56	$18,269.25	$182,659.17
3/1/56	$18,206.25	$181,826.20
4/1/56	$18,122.25	$180,718.47
5/1/56	$18,143.25	$180,258.53
6/1/56	$18,332.24	$181,331.17
7/1/56	$18,479.24	$181,847.50
8/1/56	$18,605.23	$182,953.25
9/1/56	$18,584.23	$182,479.47
10/1/56	$18,563.24	$181,213.26
11/1/56	$18,521.24	$180,803.25
12/1/56	$18,542.24	$180,222.12
1/1/57	$18,605.23	$180,572.94
2/1/57	$18,773.23	$181,351.43
3/1/57	$18,773.23	$180,960.86
4/1/57	$18,899.22	$181,718.74
5/1/57	$18,962.22	$181,868.68
6/1/57	$18,899.22	$180,555.12
7/1/57	$18,899.22	$180,042.73
8/1/57	$18,899.22	$179,469.75
9/1/57	$18,962.22	$179,813.67
10/1/57	$19,067.21	$180,809.26
11/1/57	$19,067.21	$180,236.48
12/1/57	$19,046.22	$179,658.64
1/1/58	$19,067.21	$178,789.05
2/1/58	$19,067.21	$178,415.27
3/1/58	$19,235.21	$178,927.43
4/1/58	$19,277.21	$178,884.38
5/1/58	$19,319.20	$179,274.03
6/1/58	$19,214.21	$178,484.79
7/1/58	$19,214.21	$178,608.35
8/1/58	$19,193.21	$178,104.90
9/1/58	$19,130.21	$177,704.50
10/1/58	$19,109.21	$177,509.42
11/1/58	$19,151.21	$177,653.77
12/1/58	$19,172.21	$177,725.79
1/1/59	$19,130.21	$177,091.93
2/1/59	$19,109.21	$176,958.53
3/1/59	$19,109.21	$177,141.78
4/1/59	$19,109.21	$177,080.66
5/1/59	$19,193.21	$177,491.59
6/1/59	$19,193.21	$177,064.78
7/1/59	$19,130.21	$176,241.41
8/1/59	$19,109.21	$175,866.94
9/1/59	$19,151.21	$175,831.68
10/1/59	$19,256.21	$176,193.34
11/1/59	$19,277.21	$176,385.49
12/1/59	$19,193.21	$175,258.61
1/1/60	$19,256.21	$176,073.36
2/1/60	$19,256.21	$175,833.88
3/1/60	$19,256.21	$175,833.88
4/1/60	$19,256.21	$175,060.07
5/1/60	$19,214.21	$174,501.03
6/1/60	$19,172.21	$173,884.37
7/1/60	$19,172.21	$174,237.43
8/1/60	$19,256.21	$174,646.22
9/1/60	$19,340.20	$175,407.97
10/1/60	$19,403.20	$175,151.22
11/1/60	$19,340.20	$174,406.65
12/1/60	$19,340.20	$174,231.13
1/1/61	$19,340.20	$174,055.97
2/1/61	$19,298.20	$173,677.98
3/1/61	$19,340.20	$174,055.97
4/1/61	$19,256.21	$173,474.49
5/1/61	$19,319.20	$173,866.97
6/1/61	$19,298.20	$173,677.98
7/1/61	$19,361.20	$173,779.06
8/1/61	$19,382.20	$173,851.34
9/1/61	$19,382.20	$173,619.39
10/1/61	$19,382.20	$173,619.39
11/1/61	$19,487.20	$174,559.94
12/1/61	$19,529.20	$174,761.29
1/1/62	$19,550.19	$174,774.40
2/1/62	$19,508.20	$173,993.58
3/1/62	$19,508.20	$173,647.55
4/1/62	$19,508.20	$173,417.63
5/1/62	$19,613.19	$174,177.97
6/1/62	$19,634.19	$174,537.62
7/1/62	$19,634.19	$174,479.86
8/1/62	$19,634.19	$174,134.13
9/1/62	$19,613.19	$173,147.33
10/1/62	$19,571.19	$173,004.04
11/1/62	$19,592.19	$173,189.67
12/1/62	$19,592.19	$173,189.67
1/1/63	$19,613.19	$173,033.57
2/1/63	$19,613.19	$172,806.49
3/1/63	$19,718.19	$173,560.79
4/1/63	$19,802.18	$174,471.63
5/1/63	$19,760.19	$173,930.47
6/1/63	$19,760.19	$173,362.26
7/1/63	$19,802.18	$173,277.79
8/1/63	$19,802.18	$172,939.68
9/1/63	$19,802.18	$173,108.57
10/1/63	$19,802.18	$172,939.68
11/1/63	$19,928.18	$173,870.46
12/1/63	$20,012.18	$174,037.92
1/1/64	$20,012.18	$173,700.42
2/1/64	$20,075.17	$174,416.27
3/1/64	$20,075.17	$174,247.16
4/1/64	$20,012.18	$173,644.30
5/1/64	$19,928.18	$172,747.99
6/1/64	$19,991.18	$173,126.46
7/1/64	$20,033.17	$173,434.17
8/1/64	$20,096.17	$173,811.48
9/1/64	$20,159.17	$174,188.07
10/1/64	$20,201.17	$174,326.62
11/1/64	$20,264.17	$174,366.01
12/1/64	$20,264.17	$174,142.82
1/1/65	$20,390.16	$175,057.48
2/1/65	$20,390.16	$175,057.48
3/1/65	$20,327.16	$174,349.38
4/1/65	$20,285.16	$173,601.02
5/1/65	$20,264.17	$172,870.49
6/1/65	$20,264.17	$172,159.54
7/1/65	$20,306.16	$172,680.16
8/1/65	$20,306.16	$172,844.36
9/1/65	$20,306.16	$172,461.72
10/1/65	$20,432.16	$173,367.36
11/1/65	$20,537.15	$173,709.36
12/1/65	$20,600.15	$173,695.16
1/1/66	$20,663.15	$174,062.41
2/1/66	$20,621.15	$172,625.64
3/1/66	$20,621.15	$172,089.20
4/1/66	$20,642.15	$171,730.79
5/1/66	$20,684.15	$171,707.86
6/1/66	$20,726.15	$171,897.11
7/1/66	$20,747.15	$171,700.09
8/1/66	$20,684.15	$170,130.14
9/1/66	$20,684.15	$169,610.66
10/1/66	$20,768.14	$169,780.97
11/1/66	$20,768.14	$169,626.06
12/1/66	$20,852.14	$170,105.20
1/1/67	$20,852.14	$170,208.60
2/1/67	$20,852.14	$169,692.82
3/1/67	$20,705.15	$168,496.63
4/1/67	$20,789.14	$168,669.01
5/1/67	$20,915.14	$169,691.29
6/1/67	$20,957.14	$169,010.84
7/1/67	$20,957.14	$168,504.82
8/1/67	$21,083.13	$169,011.81
9/1/67	$21,083.13	$168,508.80
10/1/67	$21,167.13	$168,678.16
11/1/67	$21,230.13	$168,182.08
12/1/67	$21,335.12	$168,516.70
1/1/68	$21,314.12	$167,857.13
2/1/68	$21,419.12	$168,190.82
3/1/68	$21,377.12	$167,371.63
4/1/68	$21,377.12	$166,885.09
5/1/68	$21,314.12	$165,910.96
6/1/68	$21,482.11	$166,254.82
7/1/68	$21,566.11	$165,948.44
8/1/68	$21,629.11	$165,957.69
9/1/68	$21,629.11	$165,484.88
10/1/68	$21,776.10	$165,665.54
11/1/68	$22,028.09	$167,109.20
12/1/68	$22,217.08	$167,596.04
1/1/69	$22,322.08	$167,916.44
2/1/69	$22,427.08	$168,235.05
3/1/69	$22,616.07	$168,242.89
4/1/69	$22,637.07	$167,471.29
5/1/69	$22,742.06	$167,785.80
6/1/69	$22,805.06	$167,331.19
7/1/69	$23,015.05	$167,954.20
8/1/69	$23,162.05	$168,568.88
9/1/69	$23,330.04	$168,876.16
10/1/69	$23,519.03	$169,331.34
11/1/69	$23,624.03	$169,180.18
12/1/69	$23,771.02	$169,329.74
1/1/70	$24,002.01	$170,072.92
2/1/70	$24,170.00	$170,364.24
3/1/70	$24,296.00	$170,358.10
4/1/70	$24,400.99	$170,205.46
5/1/70	$24,589.99	$171,079.44
6/1/70	$24,757.98	$171,360.32
7/1/70	$24,820.98	$171,354.73
8/1/70	$25,051.97	$172,505.94
9/1/70	$25,303.96	$173,352.14
10/1/70	$25,429.95	$173,330.93
11/1/70	$25,576.95	$173,452.41
12/1/70	$25,723.94	$173,572.61
1/1/71	$25,786.94	$173,561.62
2/1/71	$25,723.94	$173,137.59
3/1/71	$25,723.94	$172,704.75
4/1/71	$25,807.94	$172,836.61
5/1/71	$25,996.93	$173,238.25
6/1/71	$26,269.92	$174,192.92
7/1/71	$26,311.92	$174,041.69
8/1/71	$26,395.91	$174,168.26
9/1/71	$26,458.91	$174,156.05
10/1/71	$26,542.91	$174,281.79
11/1/71	$26,752.90	$175,232.15
12/1/71	$26,815.90	$175,217.44
1/1/72	$26,899.89	$175,339.62
2/1/72	$26,962.89	$174,901.23
3/1/72	$26,941.89	$174,765.01
4/1/72	$26,983.89	$174,615.68
5/1/72	$27,067.88	$174,738.13
6/1/72	$27,235.88	$175,401.03
7/1/72	$27,508.87	$176,735.28
8/1/72	$27,613.86	$176,986.39
9/1/72	$27,592.86	$176,011.64
10/1/72	$27,571.86	$175,460.91
11/1/72	$27,592.86	$174,766.28
12/1/72	$27,613.86	$174,487.76
1/1/73	$27,550.86	$173,274.26
2/1/73	$27,550.86	$172,065.37
3/1/73	$27,571.86	$170,609.46
4/1/73	$27,571.86	$169,438.23
5/1/73	$27,634.86	$169,051.69
6/1/73	$27,697.86	$168,287.06
7/1/73	$27,676.86	$168,159.47
8/1/73	$27,928.85	$166,673.79
9/1/73	$28,033.84	$166,560.08
10/1/73	$28,243.84	$166,335.78
11/1/73	$28,369.83	$165,985.76
12/1/73	$28,558.82	$165,647.94
1/1/74	$28,789.81	$165,203.68
2/1/74	$29,020.80	$164,768.81
3/1/74	$29,335.79	$164,814.97
4/1/74	$29,440.79	$164,373.26
5/1/74	$29,587.78	$163,494.40
6/1/74	$29,755.77	$163,080.44
7/1/74	$29,902.77	$162,888.82
8/1/74	$30,175.76	$162,399.41
9/1/74	$30,469.74	$161,713.03
10/1/74	$30,721.73	$161,771.59
11/1/74	$30,952.72	$161,405.51
12/1/74	$31,435.70	$162,660.67
1/1/75	$32,033.50	$164,486.20
2/1/75	$32,086.75	$163,819.94
3/1/75	$32,169.16	$163,618.56
4/1/75	$32,222.41	$163,270.95
5/1/75	$32,318.77	$163,450.81
6/1/75	$32,298.49	$162,126.95
7/1/75	$32,472.18	$161,489.56
8/1/75	$32,664.89	$161,848.50
9/1/75	$32,994.54	$162,284.19
10/1/75	$33,239.23	$162,594.33
11/1/75	$33,475.05	$162,563.44
12/1/75	$33,570.14	$162,145.59
1/1/76	$33,693.12	$162,156.29
2/1/76	$33,757.78	$162,176.84
3/1/76	$34,054.46	$163,309.99
4/1/76	$34,395.51	$164,651.49
5/1/76	$34,801.22	$165,707.49
6/1/76	$34,908.99	$165,341.17
7/1/76	$35,196.79	$165,826.90
8/1/76	$35,426.27	$166,034.21
9/1/76	$35,681.11	$166,357.60
10/1/76	$35,797.75	$166,036.64
11/1/76	$36,005.68	$166,426.19
12/1/76	$36,304.89	$166,947.17
1/1/77	$36,606.64	$167,474.44
