"","GEOID","GeoName","MedianValue","MOE","Year"
"1","310M100US10020","Abbeville, LA Micro Area",93300,3151,2010
"2","310M100US10100","Aberdeen, SD Micro Area",111800,4302,2010
"3","310M100US10140","Aberdeen, WA Micro Area",158200,4792,2010
"4","310M100US10180","Abilene, TX Metro Area",83400,2009,2010
"5","310M100US10220","Ada, OK Micro Area",92500,5989,2010
"6","310M100US10260","Adjuntas, PR Micro Area",87600,4463,2010
"7","310M100US10300","Adrian, MI Micro Area",140400,2840,2010
"8","310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area",96300,1175,2010
"9","310M100US10420","Akron, OH Metro Area",144800,1117,2010
"10","310M100US10460","Alamogordo, NM Micro Area",104500,4633,2010
"11","310M100US10500","Albany, GA Metro Area",104200,3214,2010
"12","310M100US10540","Albany-Lebanon, OR Micro Area",180300,4177,2010
"13","310M100US10580","Albany-Schenectady-Troy, NY Metro Area",189600,1498,2010
"14","310M100US10620","Albemarle, NC Micro Area",125600,4247,2010
"15","310M100US10660","Albert Lea, MN Micro Area",111800,3537,2010
"16","310M100US10700","Albertville, AL Micro Area",101300,3856,2010
"17","310M100US10740","Albuquerque, NM Metro Area",180800,1361,2010
"18","310M100US10760","Alexander City, AL Micro Area",84300,4229,2010
"19","310M100US10780","Alexandria, LA Metro Area",106100,2637,2010
"20","310M100US10820","Alexandria, MN Micro Area",182600,6126,2010
"21","310M100US10860","Alice, TX Micro Area",67800,3101,2010
"22","310M100US10880","Allegan, MI Micro Area",149400,2698,2010
"23","310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",215200,1375,2010
"24","310M100US10940","Alma, MI Micro Area",93600,2373,2010
"25","310M100US10980","Alpena, MI Micro Area",104800,3521,2010
"26","310M100US11020","Altoona, PA Metro Area",97400,1900,2010
"27","310M100US11060","Altus, OK Micro Area",85100,3426,2010
"28","310M100US11100","Amarillo, TX Metro Area",107800,2201,2010
"29","310M100US11140","Americus, GA Micro Area",86900,3947,2010
"30","310M100US11180","Ames, IA Metro Area",156000,2773,2010
"31","310M100US11220","Amsterdam, NY Micro Area",95000,1853,2010
"32","310M100US11260","Anchorage, AK Metro Area",250000,2738,2010
"33","310M100US11300","Anderson, IN Metro Area",96300,1908,2010
"34","310M100US11340","Anderson, SC Metro Area",117700,2901,2010
"35","310M100US11380","Andrews, TX Micro Area",86600,14039,2010
"36","310M100US11420","Angola, IN Micro Area",121700,4556,2010
"37","310M100US11460","Ann Arbor, MI Metro Area",216200,2321,2010
"38","310M100US11500","Anniston-Oxford, AL Metro Area",98200,2126,2010
"39","310M100US11540","Appleton, WI Metro Area",154600,1630,2010
"40","310M100US11580","Arcadia, FL Micro Area",114100,9583,2010
"41","310M100US11620","Ardmore, OK Micro Area",85300,4505,2010
"42","310M100US11660","Arkadelphia, AR Micro Area",78900,6206,2010
"43","310M100US11700","Asheville, NC Metro Area",181200,2837,2010
"44","310M100US11740","Ashland, OH Micro Area",128500,4021,2010
"45","310M100US11780","Ashtabula, OH Micro Area",118500,3144,2010
"46","310M100US11820","Astoria, OR Micro Area",253100,9347,2010
"47","310M100US11860","Atchison, KS Micro Area",89200,7317,2010
"48","310M100US11900","Athens, OH Micro Area",114100,4104,2010
"49","310M100US11940","Athens, TN Micro Area",105600,4881,2010
"50","310M100US11980","Athens, TX Micro Area",86400,3168,2010
"51","310M100US12020","Athens-Clarke County, GA Metro Area",165200,2453,2010
"52","310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",188300,649,2010
"53","310M100US12100","Atlantic City-Hammonton, NJ Metro Area",264400,4550,2010
"54","310M100US12140","Auburn, IN Micro Area",112300,3227,2010
"55","310M100US12180","Auburn, NY Micro Area",98400,1941,2010
"56","310M100US12220","Auburn-Opelika, AL Metro Area",139500,3997,2010
"57","310M100US12260","Augusta-Richmond County, GA-SC Metro Area",120200,1506,2010
"58","310M100US12300","Augusta-Waterville, ME Micro Area",148100,3077,2010
"59","310M100US12380","Austin, MN Micro Area",108600,4231,2010
"60","310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area",180100,1278,2010
"61","310M100US12460","Bainbridge, GA Micro Area",98900,7841,2010
"62","310M100US12540","Bakersfield-Delano, CA Metro Area",217100,2247,2010
"63","310M100US12580","Baltimore-Towson, MD Metro Area",302500,1554,2010
"64","310M100US12620","Bangor, ME Metro Area",133600,2662,2010
"65","310M100US12660","Baraboo, WI Micro Area",166400,2742,2010
"66","310M100US12700","Barnstable Town, MA Metro Area",392700,3537,2010
"67","310M100US12740","Barre, VT Micro Area",197600,4330,2010
"68","310M100US12780","Bartlesville, OK Micro Area",99700,3297,2010
"69","310M100US12820","Bastrop, LA Micro Area",71200,3920,2010
"70","310M100US12860","Batavia, NY Micro Area",101400,2828,2010
"71","310M100US12900","Batesville, AR Micro Area",82400,3772,2010
"72","310M100US12940","Baton Rouge, LA Metro Area",148700,1420,2010
"73","310M100US12980","Battle Creek, MI Metro Area",110300,1712,2010
"74","310M100US13020","Bay City, MI Metro Area",107800,2263,2010
"75","310M100US13060","Bay City, TX Micro Area",83400,4382,2010
"76","310M100US13100","Beatrice, NE Micro Area",97800,4440,2010
"77","310M100US13140","Beaumont-Port Arthur, TX Metro Area",87200,1071,2010
"78","310M100US13180","Beaver Dam, WI Micro Area",155900,2301,2010
"79","310M100US13220","Beckley, WV Micro Area",88000,2894,2010
"80","310M100US13260","Bedford, IN Micro Area",97400,3279,2010
"81","310M100US13300","Beeville, TX Micro Area",73200,5203,2010
"82","310M100US13340","Bellefontaine, OH Micro Area",124500,5268,2010
"83","310M100US13380","Bellingham, WA Metro Area",293500,5823,2010
"84","310M100US13420","Bemidji, MN Micro Area",143800,4506,2010
"85","310M100US13460","Bend, OR Metro Area",314400,7686,2010
"86","310M100US13500","Bennettsville, SC Micro Area",60300,5004,2010
"87","310M100US13540","Bennington, VT Micro Area",198800,7502,2010
"88","310M100US13620","Berlin, NH-VT Micro Area",130100,5109,2010
