"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"310M300US10100","Aberdeen, SD Micro Area","147300","5571"
"310M300US10140","Aberdeen, WA Micro Area","159400","4296"
"310M300US10180","Abilene, TX Metro Area","98200","1916"
"310M300US10220","Ada, OK Micro Area","113100","4453"
"310M300US10260","Adjuntas, PR Micro Area","90900","6343"
"310M300US10300","Adrian, MI Micro Area","119400","2741"
"310M300US10380","Aguadilla-Isabela, PR Metro Area","103300","1840"
"310M300US10420","Akron, OH Metro Area","138400","1124"
"310M300US10460","Alamogordo, NM Micro Area","105000","6911"
"310M300US10500","Albany, GA Metro Area","108300","2752"
"310M300US10540","Albany, OR Metro Area","173100","3542"
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","200100","1637"
"310M300US10620","Albemarle, NC Micro Area","129300","5700"
"310M300US10660","Albert Lea, MN Micro Area","106600","3869"
"310M300US10700","Albertville, AL Micro Area","115700","3729"
"310M300US10740","Albuquerque, NM Metro Area","177900","1742"
"310M300US10760","Alexander City, AL Micro Area","105200","6369"
"310M300US10780","Alexandria, LA Metro Area","123300","3727"
"310M300US10820","Alexandria, MN Micro Area","189900","4218"
"310M300US10860","Alice, TX Micro Area","73300","6082"
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","200000","1600"
"310M300US10940","Alma, MI Micro Area","89000","1748"
"310M300US10980","Alpena, MI Micro Area","92700","3056"
"310M300US11020","Altoona, PA Metro Area","112600","2264"
"310M300US11060","Altus, OK Micro Area","89100","3930"
"310M300US11100","Amarillo, TX Metro Area","125500","2216"
"310M300US11140","Americus, GA Micro Area","88400","4999"
"310M300US11180","Ames, IA Metro Area","167800","3074"
"310M300US11220","Amsterdam, NY Micro Area","99100","2959"
"310M300US11260","Anchorage, AK Metro Area","279500","2118"
"310M300US11380","Andrews, TX Micro Area","122000","12343"
"310M300US11420","Angola, IN Micro Area","130000","6030"
"310M300US11460","Ann Arbor, MI Metro Area","218100","2433"
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","107900","2948"
"310M300US11540","Appleton, WI Metro Area","159200","1512"
"310M300US11580","Arcadia, FL Micro Area","82300","3323"
"310M300US11620","Ardmore, OK Micro Area","102200","4203"
"310M300US11640","Arecibo, PR Metro Area","102700","2949"
"310M300US11660","Arkadelphia, AR Micro Area","92700","4982"
"310M300US11680","Arkansas City-Winfield, KS Micro Area","83000","3177"
"310M300US11700","Asheville, NC Metro Area","187700","3233"
"310M300US11740","Ashland, OH Micro Area","120700","3285"
"310M300US11780","Ashtabula, OH Micro Area","104700","2728"
"310M300US11820","Astoria, OR Micro Area","245400","8535"
"310M300US11860","Atchison, KS Micro Area","100300","12184"
"310M300US11900","Athens, OH Micro Area","113900","5729"
"310M300US11940","Athens, TN Micro Area","116900","4278"
"310M300US11980","Athens, TX Micro Area","94100","4219"
"310M300US12020","Athens-Clarke County, GA Metro Area","159200","3007"
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","173300","632"
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","222200","3297"
"310M300US12120","Atmore, AL Micro Area","93900","4537"
"310M300US12140","Auburn, IN Micro Area","113800","4278"
"310M300US12180","Auburn, NY Micro Area","117800","2658"
"310M300US12220","Auburn-Opelika, AL Metro Area","156400","3727"
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","130700","2097"
"310M300US12300","Augusta-Waterville, ME Micro Area","151100","2588"
"310M300US12380","Austin, MN Micro Area","114100","3918"
"310M300US12420","Austin-Round Rock, TX Metro Area","223500","1650"
"310M300US12460","Bainbridge, GA Micro Area","111100","10601"
"310M300US12540","Bakersfield, CA Metro Area","175600","2269"
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","280500","1248"
"310M300US12620","Bangor, ME Metro Area","137000","2863"
"310M300US12660","Baraboo, WI Micro Area","169500","3204"
"310M300US12680","Bardstown, KY Micro Area","139000","5721"
"310M300US12700","Barnstable Town, MA Metro Area","367200","3367"
"310M300US12740","Barre, VT Micro Area","213200","5629"
"310M300US12780","Bartlesville, OK Micro Area","111900","3705"
"310M300US12820","Bastrop, LA Micro Area","80500","4394"
"310M300US12860","Batavia, NY Micro Area","108700","2643"
"310M300US12900","Batesville, AR Micro Area","99900","6726"
"310M300US12940","Baton Rouge, LA Metro Area","164500","1301"
"310M300US12980","Battle Creek, MI Metro Area","99400","2102"
"310M300US13020","Bay City, MI Metro Area","94500","2071"
"310M300US13060","Bay City, TX Micro Area","98700","6289"
"310M300US13100","Beatrice, NE Micro Area","108000","4975"
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","99900","2119"
"310M300US13180","Beaver Dam, WI Micro Area","153900","2038"
"310M300US13220","Beckley, WV Metro Area","92900","4439"
"310M300US13260","Bedford, IN Micro Area","103400","5227"
"310M300US13300","Beeville, TX Micro Area","76400","4837"
"310M300US13340","Bellefontaine, OH Micro Area","124400","4189"
"310M300US13380","Bellingham, WA Metro Area","283000","3870"
"310M300US13420","Bemidji, MN Micro Area","148600","4606"
"310M300US13460","Bend-Redmond, OR Metro Area","275300","6340"
