,GeoFips,GeoName,year,MEDINC,MEDVAL,MOE,UMEDVAL,LMEDVAL,PERINC,POP,RPPALL,RPPGOODS,RPPRENT,RPPSOTH,IPD
1,10180,"Abilene, TX (Metropolitan Statistical Area)",2019,45552,116100,2841,118941,113259,7837655,172060,90.3,96,80.1,91.2,98.3
2,10420,"Akron, OH (Metropolitan Statistical Area)",2019,51095,150000,1449,151449,148551,35944121,703479,90,95.9,76.2,92.2,98
3,10500,"Albany, GA (Metropolitan Statistical Area)",2019,39922,117700,2736,120436,114964,5857583,146726,82.8,96,51.7,95.1,90.2
4,10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2019,44830,221600,4836,226436,216764,5816653,129749,98,102.8,90.4,97.7,106.7
5,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2019,60767,213600,1557,215157,212043,53498359,880381,99.3,98.9,102.8,97.9,108.1
6,10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2019,43986,192800,1440,194240,191360,40379815,918018,93.6,93.1,87.8,99.1,101.9
7,10780,"Alexandria, LA (Metropolitan Statistical Area)",2019,44446,136200,4978,141178,131222,6757395,152037,85.4,96.1,63.4,91.3,93
8,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2019,55675,213800,1744,215544,212056,46992336,844052,98.6,99.1,96.9,99.1,107.4
9,11020,"Altoona, PA (Metropolitan Statistical Area)",2019,48277,123600,2755,126355,120845,5881562,121829,90.1,98.9,64.5,97.9,98.1
10,11100,"Amarillo, TX (Metropolitan Statistical Area)",2019,48065,140500,2458,142958,138042,12739902,265053,91.3,96.3,82.8,91.3,99.4
11,11180,"Ames, IA (Metropolitan Statistical Area)",2019,44952,170600,3777,174377,166823,5544823,123351,91.8,93.9,89.3,91.1,99.9
12,11260,"Anchorage, AK (Metropolitan Statistical Area)",2019,64350,294800,2760,297560,292040,25503163,396317,106.6,101.5,127.8,101,116
13,11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2019,60843,263600,3237,266837,260363,22365853,367601,100.6,97.7,115.4,95.7,109.5
14,11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2019,38394,118000,2973,120973,115027,4361788,113605,82.4,96.8,51,90.5,89.7
15,11540,"Appleton, WI (Metropolitan Statistical Area)",2019,52686,171300,1795,173095,169505,12537901,237974,88.9,95.4,73.1,91.4,96.8
16,11700,"Asheville, NC (Metropolitan Statistical Area)",2019,47432,220600,2776,223376,217824,21945716,462680,93.5,95.3,88,95.1,101.8
17,12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2019,41495,178700,5067,183767,173633,8869497,213750,91,96.4,76.8,95.1,99.1
18,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2019,54557,217000,954,217954,216046,328450133,6020364,97.9,98.2,97.2,98.1,106.6
19,12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2019,50631,217900,3084,220984,214816,13349834,263670,98.6,100.5,93.1,100.3,107.4
20,12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2019,39781,169300,4213,173513,165087,6545660,164542,85.1,92.7,68.1,90.1,92.7
21,12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2019,43638,146100,2279,148379,143821,26574937,608980,89.3,96.2,70.4,95.1,97.2
22,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2019,61977,281500,1613,283113,279887,138028065,2227083,99.3,96.5,120.9,91.3,108.2
23,12540,"Bakersfield, CA (Metropolitan Statistical Area)",2019,41843,213900,2364,216264,211536,37666752,900202,97,98.2,88.4,102.2,105.7
24,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2019,63988,298500,1190,299690,297310,179169101,2800053,105.8,101.7,113.7,103.8,115.2
25,12620,"Bangor, ME (Metropolitan Statistical Area)",2019,43136,144700,2594,147294,142106,6563124,152148,97.3,99.1,86.6,103.8,105.9
26,12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2019,77435,393500,3335,396835,390165,16492955,212990,106.3,99.1,123.3,103.8,115.7
27,12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2019,49439,181700,2162,183862,179538,42264278,854884,90.5,95.6,81.3,91.2,98.5
28,12980,"Battle Creek, MI (Metropolitan Statistical Area)",2019,40257,110000,2124,112124,107876,5400823,134159,87,95.4,68.8,91.4,94.7
29,13020,"Bay City, MI (Metropolitan Statistical Area)",2019,43657,102000,2781,104781,99219,4502212,103126,85.9,95.4,63.5,91.4,93.5
30,13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2019,45219,114500,2073,116573,112427,17751250,392563,87.3,96.5,67.5,91.3,95.1
31,13220,"Beckley, WV (Metropolitan Statistical Area)",2019,41128,101800,4150,105950,97650,4761221,115767,77.8,92.4,44,95,84.7
32,13380,"Bellingham, WA (Metropolitan Statistical Area)",2019,50915,345700,5347,351047,340353,11672154,229247,101.6,98.2,107.1,102.2,110.6
33,13460,"Bend, OR (Metropolitan Statistical Area)",2019,56447,364600,6118,370718,358482,11159204,197692,102.5,102.8,109,97.7,111.6
