MARPI Real Personal Income by MSA 1/,,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,United States,1,Real personal income (thousands of chained (2012) dollars),12807725405,13104885137,13569148670,13998383000,13987180587,14570420793,15252933621,15512675208,15981285205,16481365351,16879392905
0,United States,2,Real per capita personal income (chained (2012) dollars) 2/,41750,42367,43553,44605,44264,45776,47571,48036,49175,50450,51424
999,United States (Nonmetropolitan Portion) 3/,1,Real personal income (thousands of chained (2012) dollars),1773027500,1802224879,1857918190,1882024936,1878005362,1916372912,1964653145,1921335298,1957524065,2013777332,2068077172
999,United States (Nonmetropolitan Portion) 3/,2,Real per capita personal income (chained (2012) dollars) 2/,38221,38763,39977,40555,40571,41443,42625,42327,43131,44352,45541
10180,"Abilene, TX (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),6441399,6623755,6829314,6988811,7120475,7500185,7370230,7231417,7367238,7660262,7972489
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39304,40002,40984,41739,42517,44553,43434,42533,43228,44758,46336
10420,"Akron, OH (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),31595820,31903573,32254939,32647219,32521212,33400593,34192806,34406482,35125199,36014654,36673129
10420,"Akron, OH (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,44921,45380,45869,46499,46220,47383,48543,48906,49895,51168,52131
10500,"Albany, GA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5863408,5895453,6142592,6058249,5930272,6001082,6121823,6164556,6244646,6325217,6496881
10500,"Albany, GA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37973,38246,39746,39345,38844,39494,40707,41335,42168,42784,44279
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),3968240,4075371,4174274,4277513,4256029,4420402,4779568,4863322,5043737,5261845,5451769
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,34209,34865,35326,36166,35945,37133,39752,39614,40339,41285,42018
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),39932675,41174908,41641407,42153737,42198096,42888960,44812160,45383377,47613333,48393130,49482976
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,45933,47269,47711,48192,48113,48842,50976,51584,53974,54851,56206
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),33128411,33134392,33652364,33533485,32529609,34175821,35642725,37277451,37758053,38690597,39609090
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37798,37248,37474,37179,35946,37783,39340,40999,41387,42287,43146
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),6473848,6478846,6719629,6788915,6688677,6659186,6803083,6917599,6922758,7153180,7262697
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42267,42044,43520,43970,43258,43085,44152,44883,45085,46826,47769
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),35291544,36257052,36707396,36688199,36463231,37196593,38845947,40091599,41344047,42484823,43750051
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,43155,44112,44498,44409,44159,44898,46786,48120,49341,50420,51833
11020,"Altoona, PA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5117764,5183256,5289654,5273579,5254901,5383392,5646385,5688466,5783975,5904972,5997799
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,40246,40799,41661,41674,41760,42973,45318,45983,46968,48203,49231
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9855250,10668353,11135201,11233471,11202271,11709558,11855673,11889925,12195569,12495327,12820248
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39520,42223,43501,43574,43269,44897,45317,45211,46137,47258,48369
11180,"Ames, IA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4736527,4629790,4878300,5341998,5093319,5176861,5303620,5333009,5284159,5455607,5548949
11180,"Ames, IA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,40957,39938,41544,45218,42387,42401,43091,43249,42710,44321,44985
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),18114665,19245496,20018585,20312502,19797566,20566753,21394241,20614232,20586073,21270636,21980192
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,48362,50242,51605,51827,49865,51676,53672,51360,51392,53493,55461
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),14758105,16118586,15801879,16630006,16552225,17177698,18224772,18981995,19693228,20138287,20423639
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42961,46624,45180,47204,46490,47713,50209,51844,53397,54504,55559
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4554247,4601794,4598104,4490954,4340543,4446423,4596607,4664374,4703376,4775028,4864296
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,38477,38864,39052,38322,37267,38359,39808,40569,41002,41765,42818
11540,"Appleton, WI (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9686394,9803754,10173501,10396504,10461666,10968856,11541735,11901801,12265850,12596744,12945739
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,43121,43389,44709,45468,45490,47356,49504,50819,52016,53148,54400
11700,"Asheville, NC (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),15964745,16132627,16465618,17181759,16934021,17759418,18908412,19596290,20240716,20970305,21558413
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37830,37929,38461,39870,38858,40393,42530,43517,44499,45656,46595
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),6354978,6438603,6670448,6887635,6919701,7333221,7893639,8140813,8504398,8798463,8948302
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,33095,33285,34317,35144,35021,36969,38968,39634,40670,41607,41863
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),216466718,220752902,233989293,237464701,237636666,254196754,269032471,278450273,290648572,301993516,308166747
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,41304,41631,43602,43616,43124,45447,47314,48108,49494,50795,51187
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),10280168,10416672,10735093,10780413,10816325,10955577,11197476,11497795,11895780,12080364,12428833
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37512,37927,39091,39254,39430,40192,41449,43028,44806,45761,47138
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4848845,4996528,5226472,5482778,5515350,5810382,6230667,6561787,6751520,6874717,7060087
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,34993,35488,36262,36904,36331,37605,39697,41226,41821,42007,42908
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),21528196,22097083,22728550,22559558,22401203,23411890,24896077,25407864,26161179,26678923,27341907
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,38574,38993,39815,39152,38636,40154,42227,42700,43582,44154,44898
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),70830984,74956581,81017628,87380501,89340613,95787845,100806988,104947844,113843963,121151164,127605146
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42103,43390,45502,47630,47438,49312,50350,50896,53815,55946,57297
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),26173614,27927130,28930704,30207608,30701026,32591039,33526095,33172989,33260285,34120422,35651845
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,31529,33207,34118,35388,35616,37496,38270,37660,37482,38176,39604
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),126237491,127480291,131387138,134216427,133385126,136992715,142128653,145889754,149524998,152653985,155547853
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,46824,46941,48061,48724,48184,49277,50941,52213,53426,54505,55552
12620,"Bangor, ME (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5652761,5624288,5649089,5603839,5493227,5621706,5779023,5856931,5888319,6065858,6196844
12620,"Bangor, ME (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,36761,36554,36740,36544,35851,36695,38038,38702,38830,39955,40729
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),11260198,11534659,11973333,12302307,12285965,12612622,13192513,13439870,13626381,14017375,14256017
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,52132,53426,55598,57277,57272,58858,61683,62933,63800,65664,66933
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),34916533,35505203,36648872,37123463,37353265,38140758,39006300,39769407,40786587,42108580,42903120
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42612,42900,44076,44396,44363,45040,45827,46420,47743,49277,50186
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4930291,4993720,5014304,5051322,5016515,5087609,5380796,5473126,5543823,5593098,5703077
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,36172,36732,37114,37490,37228,37741,40057,40740,41316,41724,42510
13020,"Bay City, MI (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),4071597,4242811,4294156,4249571,4159316,4243199,4501775,4611882,4644966,4798255,4812942
13020,"Bay City, MI (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37730,39402,39977,39728,38947,40013,42777,44170,44644,46270,46671
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),15516017,16075878,16273076,16677787,16029235,17237466,17795866,17798563,18282203,18509353,18670469
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,40078,41300,41629,42806,40975,44012,45073,44885,45920,47000,47560
13220,"Beckley, WV (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5306769,5251052,5686698,5603847,5335145,5236196,5302365,5064261,5466834,5584011,5623891
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,42517,42026,45397,44791,42902,42453,43437,42036,46066,47664,48579
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),7698148,7849115,8010806,8357148,8219200,8587175,9123998,9425628,9763139,10278282,10550857
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,38517,38945,39367,40794,39885,41254,43071,43553,44095,45641,46024
13460,"Bend, OR (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5930625,5939506,6289654,6691585,7018292,7400534,8289744,8636577,9073697,9667265,9998894
13460,"Bend, OR (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,37692,37653,39394,41470,42458,43658,47575,47804,48589,50375,50578
13740,"Billings, MT (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),6825194,7086043,7422660,7946059,7781261,8185497,8447347,8596071,9024483,9349756,9537532
13740,"Billings, MT (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,41221,42287,43917,46484,44883,46787,47899,48358,50314,51885,52500
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),9840094,9924130,9908113,9953047,9866773,9835690,10026504,10048804,10437522,10455937,10731423
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,39022,39461,39595,39981,39783,39809,40877,41298,43182,43500,44959
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),47272879,48440774,49337403,50991721,50229635,51780985,54476781,55451910,58018155,59581802,60552381
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,44685,45625,46368,47765,46817,48120,50453,51208,53443,54764,55530
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,Real personal income (thousands of chained (2012) dollars),5075052,5468327,5914859,6475553,6637896,7123580,7326922,7134897,7110997,7326131,7505839
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Real per capita personal income (chained (2012) dollars) 2/,46556,49215,52406,55979,55668,58316,58463,56077,55505,57111,58208
